"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"279","Johnny Rhodes","loss","Patrick Smith","UFC 2 - No Way OutMar / 11 / 1994","Submission (Guillotine Choke)John McCarthy","1","1:07"
"358","Johnny Rhodes","win","Fred Ettish","UFC 2 - No Way OutMar / 11 / 1994","Submission (Rear-Naked Choke)John McCarthy","1","3:07"
"437","Johnny Rhodes","win","David Levicki","UFC 2 - No Way OutMar / 11 / 1994","TKO (Submission to Punches)John McCarthy","1","12:13"
"280","David Levicki","loss","Herman Renting","Rings Holland - Free FightFeb / 19 / 1995","Decision (Unanimous)N/A","1","10:00"
"359","David Levicki","loss","Rickson Gracie","VTJ 1994 - Vale Tudo Japan 1994Jul / 29 / 1994","TKO (Submission to Punches)N/A","1","2:40"
"438","David Levicki","win","Kazuhiro Kusayanagi","VTJ 1994 - Vale Tudo Japan 1994Jul / 29 / 1994","KO (Punches)N/A","1","1:20"
"527","David Levicki","loss","Johnny Rhodes","UFC 2 - No Way OutMar / 11 / 1994","TKO (Submission to Punches)John McCarthy","1","12:13"
"289","Frank Hamaker","win","Thaddeus Luster","UFC 2 - No Way OutMar / 11 / 1994","TKO (Corner Stoppage)John McCarthy","1","4:52"
"290","Thaddeus Luster","loss","Frank Hamaker","UFC 2 - No Way OutMar / 11 / 1994","TKO (Corner Stoppage)John McCarthy","1","4:52"
"299","Orlando Wiet","loss","Zoran Milovic","GCP - Greater Champion PodgoricaMay / 19 / 2011","Submission (Armbar)N/A","1","0:43"
"360","Orlando Wiet","loss","Paul Jenkins","NGT 5 - Iustitia DivinaDec / 14 / 2008","Submission (Americana)N/A","2","1:50"
"439","Orlando Wiet","loss","Mario Stapel","S-1 - European Grand Prix 2005Nov / 12 / 2005","SubmissionN/A","1","0:00"
"528","Orlando Wiet","loss","Todd Bjornethun","UFCF - United Full Contact Federation 1Sep / 08 / 1995","Submission (Triangle Choke)N/A","1","5:43"
"624","Orlando Wiet","loss","Remco Pardoel","UFC 2 - No Way OutMar / 11 / 1994","KO (Elbows)John McCarthy","1","1:29"
"724","Orlando Wiet","win","Robert Lucarelli","UFC 2 - No Way OutMar / 11 / 1994","TKO (Knees)John McCarthy","1","2:50"
"2100","Robert Lucarelli","loss","Orlando Wiet","UFC 2 - No Way OutMar / 11 / 1994","TKO (Knees)John McCarthy","1","2:50"
"2101","Remco Pardoel","loss","Tengiz Tedoradze","EF 1 - GenesisJul / 13 / 2003","TKO (Submission to Punches)N/A","1","2:44"
"368","Remco Pardoel","NC","Roger Godinez","GC 11 - Gladiator Challenge 11Apr / 20 / 2002","No ContestN/A","1","0:17"
"440","Remco Pardoel","loss","Mark Smith","CW 1 - Cage Wars 1Feb / 23 / 2002","DecisionN/A","2","0:00"
