"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"14246","Steve Heath","win","Toby Imada","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","DecisionN/A","3","5:00"
"15230","Steve Heath","win","Jeremy Screeton","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","Submission (Choke)N/A","1","N/A"
"16224","Steve Heath","win","Paul Berg","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","Submission (Choke)N/A","1","N/A"
"17211","Steve Heath","win","Mike Eary","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","Submission (Choke)N/A","1","N/A"
"18204","Steve Heath","win","Jorge Lavama","RIR - Rumble in RenoSep / 04 / 1998","Submission (Choke)N/A","0","N/A"
"21340","Julian Ortega","loss","Jorge Masvidal","AFC 6 - Absolute Fighting Championships 6Dec / 06 / 2003","Decision (Unanimous)N/A","2","5:00"
"31001","Julian Ortega","win","Lance Ruiz","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","TKO (Corner Stoppage)N/A","2","3:07"
"4701","Julian Ortega","win","Steve White","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","Submission (Triangle Choke)N/A","1","6:56"
"21341","Steve White","loss","Thomas Kenney","KOTC 19 - Street FighterDec / 07 / 2002","Decision (Unanimous)N/A","2","5:00"
"31002","Steve White","loss","Yushin Okami","Pride FC - The Best, Vol. 3Oct / 20 / 2002","TKO (Submission to Punches)N/A","2","3:25"
"4702","Steve White","win","James Meals","XCF - California Pancration ChampionshipsJun / 11 / 2002","DQN/A","1","2:44"
"5505","Steve White","loss","Julian Ortega","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","Submission (Triangle Choke)N/A","1","6:56"
"6439","Steve White","loss","Sost Infante","HBUP - Huntington Beach Underground PancraseMay / 13 / 2000","DecisionN/A","2","10:00"
"21342","Lance Ruiz","loss","Julian Ortega","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","TKO (Corner Stoppage)N/A","2","3:07"
"31003","Lance Ruiz","win","Darren Hotzclaw","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","Submission (Strikes)N/A","1","1:23"
"21343","Darren Hotzclaw","loss","Scott Gohde","IFC WC 12 - Warriors Challenge 12Apr / 11 / 2001","TKO (Submission to Punches)N/A","1","5:27"
"31004","Darren Hotzclaw","loss","Lance Ruiz","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","Submission (Strikes)N/A","1","1:23"
"21344","Mike Bertuccini","loss","Shad Smith","KOTC 19 - Street FighterDec / 07 / 2002","TKO (Doctor Stoppage)N/A","1","4:00"
"31005","Mike Bertuccini","win","Chad Washburn","XCF - California Pancration ChampionshipsJun / 11 / 2002","Submission (Kneebar)N/A","1","0:33"
"4703","Mike Bertuccini","loss","Shawn Ramage","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","DecisionN/A","2","8:00"
"5506","Mike Bertuccini","loss","Shawn Ramage","HBUP - Huntington Beach Underground PancraseMay / 13 / 2000","DecisionN/A","2","10:00"
"21345","Jaime Adame","win","Nick LaQuette","IFC WC 9 - Warriors Challenge 9Jul / 18 / 2000","Submission (Armbar)N/A","1","5:50"
"21346","Takayuki Hosakawa","loss","Tomoaki Ueyama","M-1 Challenge 14 - JapanApr / 29 / 2009","TKO (Punches)Yoshinori Umeki","1","2:56"
"31006","Takayuki Hosakawa","loss","Caleb Mitchell","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Submission (Armbar)N/A","2","3:29"
"21347","Chris Ellerton","loss","Jason Von Flue","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Submission (Rear-Naked Choke)N/A","1","6:01"
"31007","Chris Ellerton","loss","Stephan Potvin","IFC - Battleground 2000Jan / 22 / 2000","TKO (Punches)N/A","1","6:52"
"4704","Chris Ellerton","loss","Steve Vigneault","IFC - Montreal Cage CombatOct / 09 / 1999","TKO (Punches)N/A","1","5:34"
"21348","Strider Clark","loss","Brian Tolbert","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","TKO (Punches)N/A","1","3:11"
"21349","Robert Ferguson","loss","Dave Menne","UAGF 2 - Ultimate Cage Fighting 2Jul / 30 / 2002","TKO (Retirement)N/A","2","5:00"
"31008","Robert Ferguson","loss","Jake Shields","GC 7 - Casualties of WarNov / 04 / 2001","Decision (Unanimous)Larry Landless","2","5:00"
"4705","Robert Ferguson","loss","Gil Castillo","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Decision (Unanimous)N/A","2","10:00"
"5507","Robert Ferguson","win","Steve Horton","EC 17 - Extreme Challenge 17Apr / 11 / 1998","Submission (Ankle Lock)N/A","1","6:43"
"21350","Jason Pietz","loss","Eric Scallan","GFA 7 - Global Fighting Alliance 7: Full ForceJun / 25 / 2010","Submission (Armbar)N/A","1","2:10"
"31009","Jason Pietz","win","Vincent Perez","FCP - Malice at Cow PalaceSep / 09 / 2006","Submission (Kimura)N/A","1","1:39"
"4706","Jason Pietz","win","Shane Schartzer","AC 1 - Aztec Challenge 1Sep / 06 / 2002","TKO (Submission to Punches)N/A","1","N/A"
"5508","Jason Pietz","loss","Floyd Sword","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","TKO (Punches)N/A","1","4:16"
"6440","Jason Pietz","win","Jim Walker","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Decision (Unanimous)N/A","2","10:00"
"7389","Jason Pietz","win","Dylan Hurrie","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Guillotine Choke)N/A","1","6:18"
"21351","Jim Walker","win","Gary Grate","KOTC 18 - Sudden ImpactNov / 01 / 2002","Disqualification (Illegal Headbutt)Larry Landless","2","1:31"
"31011","Jim Walker","loss","Dennis Asche","IFC WC 14 - Warriors Challenge 14Jul / 18 / 2001","SubmissionN/A","3","2:12"
"4707","Jim Walker","win","Jason Von Flue","IFC WC 12 - Warriors Challenge 12Apr / 11 / 2001","KO (Punch)N/A","1","1:34"
"5509","Jim Walker","loss","Jason Pietz","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Decision (Unanimous)N/A","2","10:00"
"6441","Jim Walker","loss","Allan Mollring","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","TKO (Punches)N/A","1","7:35"
"7390","Jim Walker","loss","James Zikic","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","N/AN/A","0","N/A"
"8363","Jim Walker","win","Andy Martin","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","N/AN/A","0","N/A"
"21352","Steve Schmitt","loss","Marty Armendarez","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Submission (Armbar)N/A","1","0:35"
"21353","Lisa Bjornstad","win","Casey Noland","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","TKO (Punches)N/A","1","2:01"
"31012","Lisa Bjornstad","win","Sopphia Cardoza","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","TKO (Submission to Punches)N/A","1","0:26"
"4708","Lisa Bjornstad","win","Jeanie Giavanni","IFC - Montreal Cage CombatOct / 09 / 1999","TKO (Corner Stoppage)N/A","1","1:27"
"5536","Lisa Bjornstad","win","Casey Noland","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","N/AN/A","0","N/A"
"6442","Lisa Bjornstad","win","Rebecca Cisceros","NG 11 - Neutral Grounds 11Mar / 31 / 1999","Submission (Armbar)N/A","1","0:32"
"21354","Sean Pierson","win","Kenny Robertson","UFC 161 - Evans vs. HendersonJun / 15 / 2013","Decision (Majority)Herb Dean","3","5:00"
"31013","Sean Pierson","win","Lance Benoist","UFC 152 - Jones vs. BelfortSep / 22 / 2012","Decision (Unanimous)Josh Rosenthal","3","5:00"
"4709","Sean Pierson","win","Jake Hecht","UFC on FX 3 - Johnson vs. McCallJun / 08 / 2012","Decision (Unanimous)Chris Adams","3","5:00"
"5537","Sean Pierson","loss","Dong Hyun Kim","UFC 141 - Lesnar vs. OvereemDec / 30 / 2011","Decision (Unanimous)Yves Lavigne","3","5:00"
"6443","Sean Pierson","loss","Jake Ellenberger","UFC 129 - St. Pierre vs. ShieldsApr / 30 / 2011","KO (Punch)Herb Dean","1","2:42"
"7391","Sean Pierson","win","Matt Riddle","UFC 124 - St. Pierre vs. Koscheck 2Dec / 11 / 2010","Decision (Unanimous)Yves Lavigne","3","5:00"
"8364","Sean Pierson","win","Ricky Goodall","W-1 MMA 6 - New GroundOct / 23 / 2010","TKO (Punches)N/A","1","1:44"
"9333","Sean Pierson","win","Fabio Holanda","Wreck MMA - Fight for the TroopsDec / 12 / 2009","KO (Punches)N/A","1","1:41"
"10318","Sean Pierson","win","Jason Rorison","Ringside MMA 2 - Rage FightingAug / 22 / 2009","TKO (Punches and Knees to the Body)Philippe Chartier","1","3:57"
"11302","Sean Pierson","win","Iraj Hadin","W-1 MMA 2 - UnpluggedJun / 13 / 2009","TKO (Punches)Emile Girard Bolen","1","2:55"
"12280","Sean Pierson","win","Jacob MacDonald","TKO 35 - Quenneville vs. HiokiOct / 03 / 2008","Submission (Punches)N/A","1","1:45"
"13257","Sean Pierson","loss","Jesse Bongfeldt","HCF - Unfinished BusinessJul / 21 / 2007","TKO (Punches)N/A","2","4:41"
"14247","Sean Pierson","win","Chester Post","TKO - MMA 2007 TourneyMar / 17 / 2007","TKO (Punches)N/A","1","1:52"
"15231","Sean Pierson","loss","Steve Vigneault","TKO 13 - Ultimate RushSep / 06 / 2003","Decision (Unanimous)N/A","3","5:00"
"16225","Sean Pierson","win","Mark Colangelo","UCC 10 - Battle for the Belts 2002Jun / 15 / 2002","Submission (Armbar)N/A","1","4:48"
"17212","Sean Pierson","loss","John Alessio","UCC 7 - Bad BoyzJan / 25 / 2002","KO (Head Kick)N/A","2","1:14"
"18205","Sean Pierson","win","Ali Nestor Charles","UCC 3 - Battle for the BeltsJan / 27 / 2001","Submission (Heel Hook)N/A","1","2:09"
"19193","Sean Pierson","loss","Chad W. Saunders","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Submission (Heel Hook)N/A","1","1:11"
"20179","Sean Pierson","win","Steve Vigneault","IFC - Battleground 2000Jan / 22 / 2000","Submission (Punches)N/A","1","1:17"
"21355","Sean Pierson","win","Steve Vigneault","IFC - Montreal Cage CombatOct / 09 / 1999","TKO (Punches)N/A","1","1:07"
"21356","Chad W. Saunders","loss","Jason Black","WFA 3 - Level 3Nov / 23 / 2002","TKO (Retirement)Steve Mazzagatti","2","5:00"
"31014","Chad W. Saunders","win","Karl Schmidt","RSF 3 - Eye of the StormJul / 21 / 2001","Submission (Armbar)N/A","1","0:00"
"4756","Chad W. Saunders","loss","Saburo Kawakatsu","Shooto - R.E.A.D. 12Nov / 12 / 2000","Decision (Unanimous)N/A","2","5:00"
"5538","Chad W. Saunders","win","Steven Broughman","WEF - New Blood ConflictAug / 26 / 2000","Submission (Armbar)N/A","1","0:39"
"6444","Chad W. Saunders","win","Sean Pierson","IFC WC 8 - Warriors Challenge 8Jun / 14 / 2000","Submission (Heel Hook)N/A","1","1:11"
"7392","Chad W. Saunders","win","Charles Diaz","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Armbar)N/A","1","1:48"
"8365","Chad W. Saunders","win","Roger Kessler","WEF 7 - Stomp in the SwampOct / 09 / 1999","Submission (Armbar)Kip Koller","1","1:10"
"9334","Chad W. Saunders","win","Mike Fillauer","WVF - Orlando 4Jun / 13 / 1999","TKO (Submission to Strikes)N/A","1","3:27"
"10319","Chad W. Saunders","win","Fredrico Perriera","WVF - Jacksonville Vale Tudo 2Mar / 20 / 1999","Submission (Triangle Choke)N/A","1","3:09"
"21357","Cruz Gomez","loss","Darren Crisp","FFW - Fight for Wrestling 4Oct / 01 / 2011","TKO (Punches)N/A","2","3:17"
"31015","Cruz Gomez","loss","Shannon Gugerty","CA Fight Syndicate - The UprisingJul / 24 / 2011","Submission (Guillotine Choke)N/A","1","1:32"
"4757","Cruz Gomez","win","Doug Hunt","FFW - Fight for Wrestling 2Aug / 14 / 2010","TKO (Punches)Jason McCoy","1","3:27"
"5539","Cruz Gomez","win","Eddie Hoch","FFW - Fight for Wrestling 1May / 22 / 2010","Decision (Unanimous)Josh Rosenthal","3","5:00"
"6445","Cruz Gomez","win","Brandon Jinnies","CA Fight Syndicate - Throwdown at the Showdown 2Oct / 02 / 2009","TKO (Punches)Nelson Hamilton","2","1:42"
"7393","Cruz Gomez","loss","Gigo Jara","PureCombat 5 - Hard CoreAug / 15 / 2008","Decision (Unanimous)N/A","3","0:00"
"8366","Cruz Gomez","loss","Isaac DeJesus","PureCombat 3 - Bring the PainMay / 09 / 2008","Decision (Split)N/A","3","5:00"
"9335","Cruz Gomez","loss","Rich Crunkilton","WEC 3 - All or NothingJun / 07 / 2002","TKO (Punches)N/A","1","3:04"
"10320","Cruz Gomez","win","Abe Rodriguez","Shogun 1 - Shogun 1Dec / 15 / 2001","Submission (Armbar)Mike Stock","1","1:47"
"11303","Cruz Gomez","win","David Bancroft","WEC 2 - Clash of the TitansOct / 04 / 2001","Submission (Knees)Mason White","1","3:37"
"12281","Cruz Gomez","win","Isaias Martinez","WEC 1 - Princes of PainJun / 30 / 2001","KO (Elbows)N/A","1","4:58"
"13258","Cruz Gomez","loss","Stephen Palling","Warriors Quest 1 - The New BeginningMay / 29 / 2001","Decision (Split)N/A","3","5:00"
"14248","Cruz Gomez","win","Josh Hernandez","IFC WC 12 - Warriors Challenge 12Apr / 11 / 2001","Submission (Armbar)N/A","1","1:05"
"15232","Cruz Gomez","loss","Jason Meaders","CFF - The Cobra Challenge 2000Jun / 03 / 2000","Decision (Unanimous)N/A","0","0:00"
"16226","Cruz Gomez","win","Matt Philips","CFF - The Cobra Challenge 2000Jun / 03 / 2000","Submission (Heel Hook)N/A","1","1:24"
"17213","Cruz Gomez","win","Jay Pages","BOTB - Best of the BestMay / 04 / 2000","Decision (Split)N/A","2","N/A"
"18206","Cruz Gomez","win","Mark Fraser","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Rear-Naked Choke)N/A","1","6:33"
"19194","Cruz Gomez","win","Kenneth Tenorio","CFF - Cobra OpenMar / 11 / 2000","Submission (Rear-Naked Choke)N/A","1","1:50"
"20180","Cruz Gomez","win","Jeff Cahill","CFF - The Cobra Challenge 1999Dec / 11 / 1999","Submission (Rear-Naked Choke)N/A","1","3:09"
"21358","Cruz Gomez","win","Bobby Gamboa","CFF - The Cobra Qualifier 1999Oct / 23 / 1999","Submission (Heel Hook)N/A","1","1:28"
"22219","Cruz Gomez","loss","Joe Hurley","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","SubmissionN/A","0","N/A"
"23198","Cruz Gomez","win","Ronnie Barnwell","IFC WC 5 - Warriors Challenge 5Sep / 18 / 1999","SubmissionN/A","0","N/A"
"24184","Cruz Gomez","loss","Philip Perez","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Leglock)N/A","1","2:01"
"25165","Cruz Gomez","loss","Adam Castaneda","IFC WC 4 - Warriors Challenge 4Aug / 07 / 1999","Submission (Armbar)N/A","1","2:32"
"21359","Mark Fraser","loss","Denis Puric","Ringside MMA 7 - No EscapeJun / 18 / 2010","KO (Punches)Marc-Andre Cote","1","0:22"
"31016","Mark Fraser","loss","Dimitri Waardenburg","MFL 2 - BattlegroundFeb / 27 / 2010","TKO (Punches)N/A","1","1:31"
"4758","Mark Fraser","loss","Johan Croes","TKO 32 - UltimatumFeb / 28 / 2008","TKO (Punches)N/A","2","0:34"
"5540","Mark Fraser","loss","Cruz Gomez","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Rear-Naked Choke)N/A","1","6:33"
"6446","Mark Fraser","loss","Frank Colcher","IFC - Battleground 2000Jan / 22 / 2000","Submission (Triangle Choke)N/A","1","7:00"
"7394","Mark Fraser","loss","Richard Nancoo","IFC - Fighters RevengeApr / 02 / 1999","Submission (Armbar)N/A","1","10:04"
"8367","Mark Fraser","win","Thomas Kircoff","IFC - Extreme CombatJan / 09 / 1999","Submission (Choke)N/A","1","2:47"
"9336","Mark Fraser","draw","Richard Nancoo","IFC 7 - Cage CombatMay / 30 / 1998","DrawYoland Gregoire","2","5:00"
"21360","Rocky Batastini","loss","Tommy Sauer","AOF 2 - Rumble at Robarts 2Apr / 25 / 2009","Submission (Guillotine Choke)N/A","1","0:17"
"31017","Rocky Batastini","loss","Mario Rinaldi","AOF 1 - Rumble at Robarts 1Jan / 24 / 2009","Submission (Kimura)John Hosegood","1","2:42"
"4759","Rocky Batastini","loss","Colby Chapman","KSP - Shamrock SmackdownSep / 22 / 2007","TKON/A","1","1:19"
"5541","Rocky Batastini","loss","Edson Franca","MMAC - The RevolutionMay / 12 / 2007","Decision (Unanimous)N/A","3","5:00"
"6447","Rocky Batastini","win","Ty Montgomery","KSP - Ken Shamrock ProductionsApr / 21 / 2007","Submission (Rear-Naked Choke)N/A","1","0:00"
"7395","Rocky Batastini","loss","Kyle Kingsbury","RITC 89 - Triple Main EventDec / 02 / 2006","Submission (Rear-Naked Choke)N/A","1","0:19"
"8368","Rocky Batastini","loss","Justin Eilers","XFS 1 - Xtreme Fight Series 1Jul / 15 / 2006","TKO (Submission to Punches)N/A","1","2:32"
"9337","Rocky Batastini","loss","Bo Cantrell","GC 51 - Madness at the MemorialJul / 01 / 2006","TKO (Punches)N/A","1","4:04"
"10321","Rocky Batastini","loss","Mike Whitehead","RITC 83 - RampageJun / 10 / 2006","Submission (Kimura)N/A","1","N/A"
"11304","Rocky Batastini","loss","Bo Cantrell","GC 47 - Night of the HeavyweightsFeb / 02 / 2006","Submission (Rear-Naked Choke)N/A","2","3:22"
"12282","Rocky Batastini","loss","Tim Persey","GC 42 - Summer SlamSep / 10 / 2005","Submission (Keylock)N/A","1","N/A"
"13259","Rocky Batastini","loss","Allan Weickert","WEC 16 - Clash of the Titans 2Aug / 18 / 2005","Submission (Armbar)Nathan Gullian","2","2:50"
"14249","Rocky Batastini","loss","Jeremy Petersen","IFC - Rock N' RumbleJul / 30 / 2005","TKO (Punches)Jon Schorle","1","1:57"
"15233","Rocky Batastini","loss","Justin Eilers","IFC - Battleground TahoeJan / 31 / 2004","TKO (Punches)N/A","1","2:35"
"16227","Rocky Batastini","loss","Jason Coronado","KOTC 28 - More PunishmentAug / 16 / 2003","Submission (Rear-Naked Choke)N/A","1","3:24"
"17214","Rocky Batastini","loss","Seth Petruzelli","KOTC 18 - Sudden ImpactNov / 01 / 2002","TKO (Punches)Steve Mazzagatti","1","4:04"
"18207","Rocky Batastini","loss","David Fox","KOTC 13 - RevolutionMay / 17 / 2002","Disqualification (Illegal Knee)Herb Dean","1","0:00"
"19195","Rocky Batastini","win","Gino De La Cruz","EC 47 - Extreme Challenge 47Mar / 16 / 2002","TKO (Punches)N/A","1","1:45"
"20181","Rocky Batastini","loss","Gan McGee","IFC WC 12 - Warriors Challenge 12Apr / 11 / 2001","TKO (Cut)N/A","1","3:12"
"21361","Rocky Batastini","loss","Roger Neff","Rings USA - Rising Stars Block BJul / 22 / 2000","Submission (Choke)N/A","1","2:13"
"22220","Rocky Batastini","loss","Paul Buentello","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Armbar)N/A","1","3:47"
"23199","Rocky Batastini","win","Phil Henderson","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","KO (Punches)N/A","1","0:10"
"24185","Rocky Batastini","loss","Heath Herring","SB 13 - SuperBrawl 13Sep / 07 / 1999","Submission (Rear-Naked Choke)N/A","1","1:00"
"25166","Rocky Batastini","win","Alex Thomson","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","TKO (Punches)N/A","1","N/A"
"26155","Rocky Batastini","win","Dave Caraney","IFC WC 3 - Warriors Challenge 3Jun / 29 / 1999","TKO (Punches)N/A","1","N/A"
"27145","Rocky Batastini","loss","Bobby Hoffman","EC 24 - Extreme Challenge 24May / 15 / 1999","Decision (Unanimous)N/A","1","12:00"
"28140","Rocky Batastini","win","George Randolph","EC 24 - Extreme Challenge 24May / 15 / 1999","KO (Kick)N/A","1","2:55"
"29132","Rocky Batastini","loss","Ricco Rodriguez","EC - Extreme CageMar / 25 / 1999","Submission (Armbar)N/A","1","4:58"
"30120","Rocky Batastini","win","Joe Leyva","EC - Extreme CageMar / 25 / 1999","TKON/A","0","0:00"
"31186","Rocky Batastini","win","Lance Gibson","SB 10 - SuperBrawl 10Nov / 20 / 1998","KO (Punch)N/A","1","0:09"
"21362","Joe Campanella","loss","Kerry Schall","EF 2 - Extreme Fights 2Jan / 19 / 2002","Submission (Armbar)N/A","1","0:30"
"31018","Joe Campanella","loss","Dave Beneteau","UCC 2 - The Moment of TruthAug / 12 / 2000","Submission (Keylock)N/A","1","1:06"
"4760","Joe Campanella","loss","Tim Lajcik","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","TKO (Punches)N/A","1","0:18"
"5542","Joe Campanella","loss","Tedd Williams","WEF 7 - Stomp in the SwampOct / 09 / 1999","Submission (Keylock)Kip Koller","1","1:48"
"6448","Joe Campanella","loss","Andre Roberts","EC 27 - Extreme Challenge 27Aug / 21 / 1999","TKO (Punches)N/A","1","2:07"
"7396","Joe Campanella","loss","Bobby Hoffman","EC 24 - Extreme Challenge 24May / 15 / 1999","Submission (Keylock)N/A","1","1:12"
"8369","Joe Campanella","win","Chad Neal","EC 21 - Extreme Challenge 21Oct / 17 / 1998","TKO (Punches)N/A","1","1:08"
"9338","Joe Campanella","loss","Tommy Sauer","EC 19 - Extreme Challenge 19Jun / 20 / 1998","N/AN/A","1","0:34"
"21363","J.F. Bolduc","win","Eric Haman","UGC 3 - Ultimate Generation Combat 3Mar / 08 / 2003","Submission (Triangle Choke)N/A","0","0:00"
"31019","J.F. Bolduc","win","Eric Haman","UGC 1 - Ultimate Generation Combat 1Jun / 14 / 2002","TKON/A","0","0:00"
"4761","J.F. Bolduc","win","Stephane Vigneault","UCC 7 - Bad BoyzJan / 25 / 2002","Decision (Unanimous)N/A","2","5:00"
"5543","J.F. Bolduc","loss","Ivan Menjivar","UCC 4 - Return Of The Super StrikersMay / 12 / 2001","Decision (Split)N/A","1","10:00"
"6449","J.F. Bolduc","loss","Phil Hughes","UCC 3 - Battle for the BeltsJan / 27 / 2001","Submission (Armbar)N/A","1","7:12"
"7397","J.F. Bolduc","win","J.T. McCarthy","UCC 2 - The Moment of TruthAug / 12 / 2000","Submission (Punches)N/A","1","2:11"
"8370","J.F. Bolduc","win","Joel Leblanc","UCC 1 - The New BeginningJun / 02 / 2000","Submission (Guillotine Choke)N/A","1","1:39"
"9339","J.F. Bolduc","loss","Joe Hurley","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Rear-Naked Choke)N/A","1","7:47"
"10322","J.F. Bolduc","loss","Adam Castaneda","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","DisqualificationN/A","1","7:30"
"11305","J.F. Bolduc","loss","Joel Leblanc","IFC - Battleground 2000Jan / 22 / 2000","TKO (Punches)N/A","1","N/A"
"12283","J.F. Bolduc","loss","Antonio McKee","NG 13 - Neutral Grounds 13Nov / 20 / 1999","Decision (Unanimous)N/A","3","5:00"
"13260","J.F. Bolduc","win","David Guigui","IFC - Montreal Cage CombatOct / 09 / 1999","Submission (Choke)N/A","1","2:07"
"14250","J.F. Bolduc","win","Brett Amon","IFC - Montreal Cage CombatOct / 09 / 1999","SubmissionN/A","1","4:08"
"15234","J.F. Bolduc","loss","Jordan Damon","IFC - Fighters RevengeApr / 02 / 1999","Submission (Armbar)N/A","1","3:38"
"16228","J.F. Bolduc","win","Ruben Lopez","IFC - Fighters RevengeApr / 02 / 1999","Decision (Unanimous)N/A","1","20:00"
"21364","Edewaa Foster","win","Dylan Hurrie","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Guillotine Choke)N/A","1","1:34"
"31020","Edewaa Foster","win","Sheldon Cole","IFC - Montreal Cage CombatOct / 09 / 1999","TKO (Punches)N/A","1","1:41"
"4762","Edewaa Foster","win","Sheldon Cole","IFC 7 - Cage CombatMay / 30 / 1998","Submission (Keylock)Yoland Gregoire","1","0:56"
"5544","Edewaa Foster","loss","Joe Slick","IFC 6 - Battle at Four BearsSep / 20 / 1997","TKO (Submission to Punches)N/A","1","2:20"
"6450","Edewaa Foster","win","Jason Saulters","IFC 5 - Battle in the BayouSep / 05 / 1997","Submission (Guillotine Choke)Jeff Collins","1","0:50"
"21365","Sopphia Cardoza","loss","Lisa Bjornstad","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","TKO (Submission to Punches)N/A","1","0:26"
"21366","Phil Henderson","loss","Chris Kiever","EC 47 - Extreme Challenge 47Mar / 16 / 2002","TKO (Retirement)N/A","1","5:00"
"31021","Phil Henderson","win","Rick Graveson","EC 43 - Extreme Challenge 43Sep / 08 / 2001","Submission (Guillotine Choke)N/A","2","2:43"
"4763","Phil Henderson","loss","Rocky Batastini","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","KO (Punches)N/A","1","0:10"
"21367","Dylan Hurrie","loss","Dennis Henderson","CFF - The Cobra Challenge 2000Jun / 03 / 2000","Submission (Choke)N/A","1","1:03"
"31022","Dylan Hurrie","loss","Edewaa Foster","IFC WC 7 - Warriors Challenge 7May / 03 / 2000","Submission (Guillotine Choke)N/A","1","1:34"
"4764","Dylan Hurrie","loss","Jason Pietz","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Submission (Guillotine Choke)N/A","1","6:18"
"21368","Tadao Yasuda","loss","Rene Rooze","Inoki Bom-Ba-Ye 2003 - Inoki FestivalDec / 31 / 2003","TKO (Punches)N/A","1","0:50"
"31023","Tadao Yasuda","loss","Jan Nortje","Inoki Bom-Ba-Ye 2002 - K-1 vs. InokiDec / 31 / 2002","TKO (Injury)N/A","2","0:57"
"4765","Tadao Yasuda","loss","Kazuyuki Fujita","UFO - LegendAug / 08 / 2002","Submission (Arm-Triangle Choke)N/A","1","2:46"
"5545","Tadao Yasuda","win","Jerome Le Banner","Inoki Bom-Ba-Ye 2001 - K-1 vs. InokiDec / 31 / 2001","Submission (Forearm Choke)N/A","2","2:50"
"6451","Tadao Yasuda","loss","Rene Rooze","K-1 - Andy Hug MemorialAug / 19 / 2001","KO (Kick)N/A","3","0:09"
"7398","Tadao Yasuda","win","Masaaki Satake","Pride 13 - Collision CourseMar / 25 / 2001","Decision (Split)N/A","3","5:00"
"21369","Denis Sobolev","loss","Christian M'Pumbu","SOP - Star of PeresvitDec / 07 / 2007","Submission (Rear-Naked Choke)N/A","1","1:20"
"31024","Denis Sobolev","loss","Denis Komkin","SOP - Star of PeresvitDec / 07 / 2007","Submission (Armbar)N/A","2","1:55"
"4766","Denis Sobolev","win","Telman Sherifov","SOP - Star of PeresvitDec / 07 / 2007","DecisionN/A","2","5:00"
"5546","Denis Sobolev","loss","Martin Malkhasyan","Bushido - Zst ArmeniaMay / 15 / 2007","Submission (Rear-Naked Choke)N/A","0","0:00"
"6452","Denis Sobolev","loss","Ibragim Magomedov","Union of Veterans of Sport - Championship CupDec / 02 / 2006","KO (Punches)N/A","1","3:45"
"7399","Denis Sobolev","loss","Milco Voorn","FEFoMP - World Pankration Championship 2006May / 20 / 2006","TKO (Doctor Stoppage)Dmitriy Sazonov","1","4:55"
"8371","Denis Sobolev","win","Peter Mulder","WOP - Wind of PeresvitDec / 03 / 2005","KO (Punches)N/A","0","N/A"
"9340","Denis Sobolev","win","Denis Podolyachin","WSFC - West Siberian Fighting Championship 10Sep / 24 / 2004","Decision (Unanimous)N/A","5","0:00"
"10323","Denis Sobolev","loss","Heath Herring","Pride 13 - Collision CourseMar / 25 / 2001","Submission (Keylock)N/A","1","0:22"
